"","SAMPLEID","StationID","RefSamp","Reference","nt_habit_climbcling","nt_volt_semi","pt_BCG_att1i234b","nt_EPT","x_HBI"
"KS_Clint_0369_Rep1","KS_Clint_0369_Rep1","KS_MMI_Site007","No","Strs",14,3,12.5,10,5.066666667
"KS_Clint_0373_Rep1","KS_Clint_0373_Rep1","KS_MMI_Site007","No","Strs",18,7,9.090909091,8,5.298245614
"KS_Clint_0375_Rep1","KS_Clint_0375_Rep1","KS_MMI_Site007","No","Strs",19,5,12.90322581,10,5.178947368
"KS_Clint_0376_Rep1","KS_Clint_0376_Rep1","KS_MMI_Site007","No","Strs",23,3,9.677419355,10,5.54954955
"KS_Clint_0377_Rep1","KS_Clint_0377_Rep1","KS_MMI_Site007","No","Strs",18,4,18.51851852,11,5.558252427
"KS_Clint_0370_Rep1","KS_Clint_0370_Rep1","KS_MMI_Site007","No","Strs",18,8,12.82051282,12,5.197183099
"KS_Clint_0379_Rep1","KS_Clint_0379_Rep1","KS_MMI_Site007","No","Strs",22,9,16.21621622,10,5.338164251
"KS_Clint_0380_Rep1","KS_Clint_0380_Rep1","KS_MMI_Site007","No","Strs",14,6,3.225806452,5,5.392592593
"KS_Clint_0381_Rep1","KS_Clint_0381_Rep1","KS_MMI_Site007","No","Strs",14,3,16.66666667,8,5.267942584
"KS_Clint_0382_Rep1","KS_Clint_0382_Rep1","KS_MMI_Site007","No","Strs",16,3,12.5,10,5.487684729
"KS_Clint_0383_Rep1","KS_Clint_0383_Rep1","KS_MMI_Site007","No","Strs",20,7,5.882352941,9,5.364963504
"KS_Clint_0384_Rep1","KS_Clint_0384_Rep1","KS_MMI_Site007","No","Strs",19,4,8.108108108,9,5.606498195
"KS_Clint_0372_Rep1","KS_Clint_0372_Rep1","KS_MMI_Site007","No","Strs",15,4,10.71428571,8,5.195652174
"KS_Clint_0386_Rep1","KS_Clint_0386_Rep1","KS_MMI_Site007","No","Strs",24,7,12.19512195,12,5.595744681
"KS_Clint_0374_Rep1","KS_Clint_0374_Rep1","KS_MMI_Site007","No","Strs",16,6,17.85714286,8,5.3375
"KS_Clint_0388_Rep1","KS_Clint_0388_Rep1","KS_MMI_Site007","No","Strs",27,9,11.11111111,15,5.479905437
"KS_Clint_0389_Rep1","KS_Clint_0389_Rep1","KS_MMI_Site007","No","Strs",22,4,7.894736842,9,5.453674121
"KS_Clint_0390_Rep1","KS_Clint_0390_Rep1","KS_MMI_Site007","No","Strs",20,6,5.405405405,13,5.471014493
"KS_Clint_0378_Rep1","KS_Clint_0378_Rep1","KS_MMI_Site007","No","Strs",19,7,18.75,11,5.552631579
"KS_Clint_0392_Rep1","KS_Clint_0392_Rep1","KS_MMI_Site007","No","Strs",19,4,2.702702703,9,5.428571429
"KS_Clint_0393_Rep1","KS_Clint_0393_Rep1","KS_MMI_Site007","No","Strs",17,5,10,9,5.381656805
"KS_Clint_0394_Rep1","KS_Clint_0394_Rep1","KS_MMI_Site007","No","Strs",17,5,0,8,5.338797814
"KS_Clint_0395_Rep1","KS_Clint_0395_Rep1","KS_MMI_Site007","No","Strs",32,7,7.01754386,16,5.474940334
"KS_Clint_0396_Rep1","KS_Clint_0396_Rep1","KS_MMI_Site007","No","Strs",26,8,7.894736842,11,5.448979592
"KS_Clint_0397_Rep1","KS_Clint_0397_Rep1","KS_MMI_Site007","No","Strs",23,9,6.666666667,10,5.423611111
"KS_Clint_0385_Rep1","KS_Clint_0385_Rep1","KS_MMI_Site007","No","Strs",26,9,6.52173913,14,5.447368421
"KS_Clint_0399_Rep1","KS_Clint_0399_Rep1","KS_MMI_Site007","No","Strs",24,5,8.571428571,10,5.602803738
"KS_Clint_0391_Rep1","KS_Clint_0391_Rep1","KS_MMI_Site007","No","Strs",16,6,3.333333333,10,5.471615721
"KS_Clint_0387_Rep1","KS_Clint_0387_Rep1","KS_MMI_Site007","No","Strs",19,7,6.451612903,7,5.512711864
"KS_Clint_0365_Rep1","KS_Clint_0365_Rep1","KS_MMI_Site007","No","Strs",19,5,5.714285714,5,5.535885167
"KS_Clint_0366_Rep1","KS_Clint_0366_Rep1","KS_MMI_Site007","No","Strs",16,4,18.51851852,9,5.078947368
"KS_Clint_0367_Rep1","KS_Clint_0367_Rep1","KS_MMI_Site007","No","Strs",22,7,4.87804878,7,5.362068966
"KS_Clint_0364_Rep1","KS_Clint_0364_Rep1","KS_MMI_Site007","No","Strs",20,2,12.90322581,8,5.289719626
"KS_Clint_0371_Rep1","KS_Clint_0371_Rep1","KS_MMI_Site007","No","Strs",16,5,8.823529412,7,5.333333333
"KS_Clint_0368_Rep1","KS_Clint_0368_Rep1","KS_MMI_Site007","No","Strs",19,6,7.5,8,5.389189189
"KS_Clint_0398_Rep1","KS_Clint_0398_Rep1","KS_MMI_Site007","Strs","Strs",27,9,10.63829787,13,5.333333333
"KS_Liz_3453_Rep1","KS_Liz_3453_Rep1","KS_MMI_Site008","Ref","Ref",25,5,16.21621622,13,5.123324397
"KS_Liz_3642_Rep1","KS_Liz_3642_Rep1","KS_MMI_Site009","Ref","Ref",4,1,9.090909091,2,4.993421053
"KS_Liz_3228_Rep1","KS_Liz_3228_Rep1","KS_MMI_Site010","Strs","HighStrs",14,2,0,1,5.640569395
"KS_Clint_1971_Rep1","KS_Clint_1971_Rep1","KS_MMI_Site011","No","Ref",33,11,13.20754717,19,5.067226891
"KS_Clint_1976_Rep1","KS_Clint_1976_Rep1","KS_MMI_Site011","No","Ref",23,8,13.95348837,12,5.21192053
"KS_Clint_1975_Rep1","KS_Clint_1975_Rep1","KS_MMI_Site011","No","Ref",25,5,16.21621622,16,5.203703704
"KS_Clint_1970_Rep1","KS_Clint_1970_Rep1","KS_MMI_Site011","No","Ref",27,8,10.41666667,21,4.662393162
"KS_Clint_1972_Rep1","KS_Clint_1972_Rep1","KS_MMI_Site011","No","Ref",35,7,13.7254902,21,4.870588235
"KS_Clint_1973_Rep1","KS_Clint_1973_Rep1","KS_MMI_Site011","No","Ref",35,10,13.33333333,20,4.835858586
"KS_Clint_1974_Rep1","KS_Clint_1974_Rep1","KS_MMI_Site011","No","Ref",33,9,11.86440678,21,5.06514658
"KS_Clint_1978_Rep1","KS_Clint_1978_Rep1","KS_MMI_Site011","Ref","Ref",14,5,10.52631579,3,5.050847458
"KS_Clint_1977_Rep1","KS_Clint_1977_Rep1","KS_MMI_Site011","No","Ref",23,2,9.523809524,10,5.300847458
"KS_Liz_3510_Rep1","KS_Liz_3510_Rep1","KS_MMI_Site012","Strs","HighStrs",9,4,6.896551724,3,5.415384615
"KS_Liz_3184_Rep1","KS_Liz_3184_Rep1","KS_MMI_Site013","Ref","Ref",25,10,15.90909091,14,5.102564103
"KS_Clint_0402_Rep1","KS_Clint_0402_Rep1","KS_MMI_Site014","No","Strs",16,6,3.225806452,12,5.393442623
"KS_Clint_0403_Rep1","KS_Clint_0403_Rep1","KS_MMI_Site014","No","Strs",21,4,6.818181818,18,5.296460177
"KS_Clint_0410_Rep1","KS_Clint_0410_Rep1","KS_MMI_Site014","No","Strs",26,4,9.302325581,19,5.221153846
"KS_Clint_0411_Rep1","KS_Clint_0411_Rep1","KS_MMI_Site014","No","Strs",24,6,10.81081081,14,5.292929293
"KS_Clint_0400_Rep1","KS_Clint_0400_Rep1","KS_MMI_Site014","No","Strs",19,4,5.714285714,15,5.162790698
"KS_Clint_0401_Rep1","KS_Clint_0401_Rep1","KS_MMI_Site014","No","Strs",18,3,10,13,5.228571429
"KS_Clint_0415_Rep1","KS_Clint_0415_Rep1","KS_MMI_Site014","No","Strs",20,7,9.375,17,5.113333333
"KS_Clint_0416_Rep1","KS_Clint_0416_Rep1","KS_MMI_Site014","No","Strs",15,3,11.53846154,12,4.789808917
"KS_Clint_0413_Rep1","KS_Clint_0413_Rep1","KS_MMI_Site014","No","Strs",13,1,11.76470588,10,5.253968254
"KS_Clint_0418_Rep1","KS_Clint_0418_Rep1","KS_MMI_Site014","No","Strs",24,3,12.5,19,5.073426573
"KS_Clint_0419_Rep1","KS_Clint_0419_Rep1","KS_MMI_Site014","No","Strs",26,5,6.666666667,21,4.955631399
"KS_Clint_0420_Rep1","KS_Clint_0420_Rep1","KS_MMI_Site014","No","Strs",23,4,6.976744186,18,5.552631579
"KS_Clint_0417_Rep1","KS_Clint_0417_Rep1","KS_MMI_Site014","No","Strs",26,5,7.894736842,19,4.993569132
"KS_Clint_0422_Rep1","KS_Clint_0422_Rep1","KS_MMI_Site014","No","Strs",22,3,11.11111111,18,5.25177305
"KS_Clint_0423_Rep1","KS_Clint_0423_Rep1","KS_MMI_Site014","No","Strs",17,3,17.24137931,15,5.410596026
"KS_Clint_0424_Rep1","KS_Clint_0424_Rep1","KS_MMI_Site014","No","Strs",22,6,7.5,18,5.584444444
"KS_Clint_0421_Rep1","KS_Clint_0421_Rep1","KS_MMI_Site014","No","Strs",21,3,10.25641026,16,5.306976744
"KS_Clint_0426_Rep1","KS_Clint_0426_Rep1","KS_MMI_Site014","No","Strs",25,5,20,16,4.522309711
"KS_Clint_0414_Rep1","KS_Clint_0414_Rep1","KS_MMI_Site014","No","Strs",23,5,11.11111111,16,5.161403509
"KS_Clint_0428_Rep1","KS_Clint_0428_Rep1","KS_MMI_Site014","No","Strs",15,1,7.142857143,14,5.473317865
"KS_Clint_0429_Rep1","KS_Clint_0429_Rep1","KS_MMI_Site014","No","Strs",21,4,5.405405405,15,5.348088531
"KS_Clint_0430_Rep1","KS_Clint_0430_Rep1","KS_MMI_Site014","No","Strs",17,2,11.11111111,15,5.324324324
"KS_Clint_0431_Rep1","KS_Clint_0431_Rep1","KS_MMI_Site014","No","Strs",27,6,8.888888889,16,5.382300885
"KS_Clint_0432_Rep1","KS_Clint_0432_Rep1","KS_MMI_Site014","Strs","Strs",27,3,8.823529412,19,5.265100671
"KS_Clint_0433_Rep1","KS_Clint_0433_Rep1","KS_MMI_Site014","No","Strs",29,3,12.19512195,22,5.582300885
"KS_Clint_0407_Rep1","KS_Clint_0407_Rep1","KS_MMI_Site014","No","Strs",20,6,8.571428571,17,5.169491525
"KS_Clint_0408_Rep1","KS_Clint_0408_Rep1","KS_MMI_Site014","No","Strs",29,5,9.523809524,21,4.963276836
"KS_Clint_0409_Rep1","KS_Clint_0409_Rep1","KS_MMI_Site014","No","Strs",21,6,10.81081081,16,5.328413284
"KS_Clint_0405_Rep1","KS_Clint_0405_Rep1","KS_MMI_Site014","No","Strs",19,9,12.5,13,5.1875
"KS_Clint_0425_Rep1","KS_Clint_0425_Rep1","KS_MMI_Site014","No","Strs",18,1,5.882352941,17,5.345132743
"KS_Clint_0412_Rep1","KS_Clint_0412_Rep1","KS_MMI_Site014","No","Strs",13,2,9.090909091,10,5.078703704
"KS_Clint_0404_Rep1","KS_Clint_0404_Rep1","KS_MMI_Site014","No","Strs",25,5,8.333333333,18,5.375
"KS_Liz_3458_Rep1","KS_Liz_3458_Rep1","KS_MMI_Site014","No","Strs",18,5,6.25,10,5.296116505
"KS_Clint_0427_Rep1","KS_Clint_0427_Rep1","KS_MMI_Site014","No","Strs",20,1,10,15,4.682481752
"KS_Clint_0406_Rep1","KS_Clint_0406_Rep1","KS_MMI_Site014","No","Strs",23,4,5.405405405,17,5.277511962
"KS_Liz_3495_Rep1","KS_Liz_3495_Rep1","KS_MMI_Site015","Ref","Ref",9,1,8,2,5.769230769
"KS_Clint_0521_Rep1","KS_Clint_0521_Rep1","KS_MMI_Site016","No","Ref",16,4,9.677419355,13,5.262773723
"KS_Clint_0524_Rep1","KS_Clint_0524_Rep1","KS_MMI_Site016","No","Ref",26,8,8.333333333,15,5.148514851
"KS_Clint_0525_Rep1","KS_Clint_0525_Rep1","KS_MMI_Site016","No","Ref",23,9,9.523809524,14,5.227091633
"KS_Clint_0523_Rep1","KS_Clint_0523_Rep1","KS_MMI_Site016","No","Ref",18,8,7.894736842,9,5.266666667
"KS_Clint_0527_Rep1","KS_Clint_0527_Rep1","KS_MMI_Site016","Ref","Ref",19,7,9.375,10,5.415178571
"KS_Clint_0520_Rep1","KS_Clint_0520_Rep1","KS_MMI_Site016","No","Ref",20,6,6.666666667,13,5.35483871
"KS_Clint_0526_Rep1","KS_Clint_0526_Rep1","KS_MMI_Site016","No","Ref",14,6,6.666666667,5,5.451851852
"KS_Liz_3388_Rep1","KS_Liz_3388_Rep1","KS_MMI_Site016","No","Ref",21,8,8.823529412,13,5.014981273
"KS_Clint_0522_Rep1","KS_Clint_0522_Rep1","KS_MMI_Site016","No","Ref",17,5,7.692307692,9,5.058823529
"KS_Clint_0517_Rep1","KS_Clint_0517_Rep1","KS_MMI_Site017","No","Strs",27,7,8.695652174,17,5.180327869
"KS_Clint_0519_Rep1","KS_Clint_0519_Rep1","KS_MMI_Site017","Strs","Strs",27,7,8.620689655,17,5.393442623
"KS_Clint_0518_Rep1","KS_Clint_0518_Rep1","KS_MMI_Site017","No","Strs",26,7,12,16,5.109243697
"KS_Clint_0346_Rep1","KS_Clint_0346_Rep1","KS_MMI_Site018","Other","Other",32,9,14.28571429,16,4.952879581
"KS_Clint_0350_Rep1","KS_Clint_0350_Rep1","KS_MMI_Site018","Other","Other",18,6,14.28571429,8,5.05
"KS_Clint_0351_Rep1","KS_Clint_0351_Rep1","KS_MMI_Site018","Other","Other",29,11,13.33333333,14,4.836158192
"KS_Clint_0348_Rep1","KS_Clint_0348_Rep1","KS_MMI_Site018","Other","Other",21,7,17.14285714,8,5.153333333
"KS_Clint_0345_Rep1","KS_Clint_0345_Rep1","KS_MMI_Site018","Other","Other",21,7,13.51351351,10,4.865384615
"KS_Clint_0358_Rep1","KS_Clint_0358_Rep1","KS_MMI_Site018","Other","Other",27,9,9.756097561,10,5.038461538
"KS_Clint_0347_Rep1","KS_Clint_0347_Rep1","KS_MMI_Site018","Other","Other",17,7,15.78947368,11,5
"KS_Clint_0360_Rep1","KS_Clint_0360_Rep1","KS_MMI_Site018","Other","Other",28,6,11.9047619,13,5.259938838
"KS_Clint_0361_Rep1","KS_Clint_0361_Rep1","KS_MMI_Site018","Other","Other",28,9,19.51219512,16,5.011560694
"KS_Clint_0362_Rep1","KS_Clint_0362_Rep1","KS_MMI_Site018","Other","Other",24,8,15.38461538,12,4.969565217
"KS_Clint_0363_Rep1","KS_Clint_0363_Rep1","KS_MMI_Site018","Other","Other",23,11,26.47058824,14,4.850174216
"KS_Clint_0352_Rep1","KS_Clint_0352_Rep1","KS_MMI_Site018","Other","Other",21,6,12.90322581,9,4.787356322
"KS_Clint_0353_Rep1","KS_Clint_0353_Rep1","KS_MMI_Site018","Other","Other",23,9,14.70588235,12,5.245398773
"KS_Clint_0354_Rep1","KS_Clint_0354_Rep1","KS_MMI_Site018","Other","Other",25,8,17.14285714,10,4.987951807
"KS_Clint_0355_Rep1","KS_Clint_0355_Rep1","KS_MMI_Site018","Other","Other",26,6,12.82051282,12,5.172588832
"KS_Clint_0356_Rep1","KS_Clint_0356_Rep1","KS_MMI_Site018","Other","Other",17,6,11.42857143,7,5.292134831
"KS_Clint_0356_Rep2","KS_Clint_0356_Rep2","KS_MMI_Site018","No","Other",14,4,6.451612903,6,5.280927835
"KS_Clint_0349_Rep1","KS_Clint_0349_Rep1","KS_MMI_Site018","Other","Other",17,2,16.12903226,10,4.900900901
"KS_Clint_0359_Rep1","KS_Clint_0359_Rep1","KS_MMI_Site018","Other","Other",28,13,12.5,13,5.274021352
"KS_Clint_0357_Rep1","KS_Clint_0357_Rep1","KS_MMI_Site018","Other","Other",26,9,11.36363636,12,5.132450331
"KS_Clint_0363_Rep2","KS_Clint_0363_Rep2","KS_MMI_Site018","No","Other",21,12,23.52941176,9,4.720930233
"KS_Liz_3429_Rep1","KS_Liz_3429_Rep1","KS_MMI_Site019","Other","Other",20,6,8.108108108,9,5.248908297
"KS_Liz_3358_Rep1","KS_Liz_3358_Rep1","KS_MMI_Site020","Ref","Ref",17,3,9.090909091,10,4.306122449
"KS_Clint_0483_Rep1","KS_Clint_0483_Rep1","KS_MMI_Site021","No","Strs",16,3,0,12,5.326923077
"KS_Clint_0496_Rep1","KS_Clint_0496_Rep1","KS_MMI_Site021","No","Strs",14,3,0,10,5.752
"KS_Clint_0497_Rep1","KS_Clint_0497_Rep1","KS_MMI_Site021","No","Strs",22,9,6.060606061,10,5.34502924
"KS_Clint_0499_Rep1","KS_Clint_0499_Rep1","KS_MMI_Site021","No","Strs",21,4,0,8,5.95
"KS_Clint_0500_Rep1","KS_Clint_0500_Rep1","KS_MMI_Site021","No","Strs",17,3,0,8,5.475935829
"KS_Clint_0501_Rep1","KS_Clint_0501_Rep1","KS_MMI_Site021","No","Strs",12,1,0,6,6.121359223
"KS_Clint_0503_Rep1","KS_Clint_0503_Rep1","KS_MMI_Site021","No","Strs",15,0,11.76470588,7,5.286713287
"KS_Clint_0504_Rep1","KS_Clint_0504_Rep1","KS_MMI_Site021","No","Strs",14,3,0,7,5.675438596
"KS_Clint_0505_Rep1","KS_Clint_0505_Rep1","KS_MMI_Site021","No","Strs",19,1,5.882352941,13,5.676691729
"KS_Clint_0502_Rep1","KS_Clint_0502_Rep1","KS_MMI_Site021","No","Strs",11,5,7.692307692,5,5.87
"KS_Clint_0481_Rep1","KS_Clint_0481_Rep1","KS_MMI_Site021","No","Strs",16,1,4.347826087,13,5.234042553
"KS_Clint_0482_Rep1","KS_Clint_0482_Rep1","KS_MMI_Site021","No","Strs",14,5,4.347826087,7,5.381578947
"KS_Clint_0509_Rep1","KS_Clint_0509_Rep1","KS_MMI_Site021","No","Strs",19,2,0,10,5.177536232
"KS_Clint_0510_Rep1","KS_Clint_0510_Rep1","KS_MMI_Site021","No","Strs",13,0,0,10,5.698830409
"KS_Clint_0511_Rep1","KS_Clint_0511_Rep1","KS_MMI_Site021","No","Strs",12,2,3.333333333,5,6.154061625
"KS_Clint_0512_Rep1","KS_Clint_0512_Rep1","KS_MMI_Site021","No","Strs",21,2,2.564102564,12,5.690909091
"KS_Clint_0513_Rep1","KS_Clint_0513_Rep1","KS_MMI_Site021","No","Strs",21,6,2.702702703,14,5.208121827
"KS_Clint_0514_Rep1","KS_Clint_0514_Rep1","KS_MMI_Site021","No","Strs",17,2,0,10,5.421428571
"KS_Clint_0515_Rep1","KS_Clint_0515_Rep1","KS_MMI_Site021","No","Strs",23,8,4.444444444,11,5.981617647
"KS_Clint_0516_Rep1","KS_Clint_0516_Rep1","KS_MMI_Site021","Strs","Strs",15,4,0,12,5.545454545
"KS_Clint_0488_Rep1","KS_Clint_0488_Rep1","KS_MMI_Site021","No","Strs",18,3,6.060606061,13,5.401015228
"KS_Clint_0489_Rep1","KS_Clint_0489_Rep1","KS_MMI_Site021","No","Strs",18,4,0,9,5.566929134
"KS_Clint_0506_Rep1","KS_Clint_0506_Rep1","KS_MMI_Site021","No","Strs",19,4,5.128205128,15,5.980555556
"KS_Clint_0507_Rep1","KS_Clint_0507_Rep1","KS_MMI_Site021","No","Strs",18,5,0,15,5.498141264
